"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power"
"292",2,"continuous",300,300,1,1,3.16227766016838,3.16227766016838,1,2,NA,0.1414,0.4898
"293",2,"continuous",300,300,1,1,3.16227766016838,3.16227766016838,1,3,NA,0.7995,0.9724
"294",2,"continuous",300,300,1,1,3.16227766016838,3.16227766016838,1,4,NA,0.9976,0.9999
"295",2,"continuous",300,300,1,1,3.16227766016838,3.16227766016838,1,5,NA,1,1
"296",2,"continuous",300,300,1,1,10,10,1,1,NA,0.0023,0.0499
"297",2,"continuous",300,300,1,1,10,10,1,2,NA,0.0091,0.0966
"298",2,"continuous",300,300,1,1,10,10,1,3,NA,0.0371,0.2297
"299",2,"continuous",300,300,1,1,10,10,1,4,NA,0.1206,0.4488
"300",2,"continuous",300,300,1,1,10,10,1,5,NA,0.28,0.6866
"301",2,"continuous",350,350,1,1,1,1,1,1,NA,0.0031,0.048
"302",2,"continuous",350,350,1,1,1,1,1,2,NA,0.9995,1
"303",2,"continuous",350,350,1,1,1,1,1,3,NA,1,1
"304",2,"continuous",350,350,1,1,1,1,1,4,NA,1,1
"305",2,"continuous",350,350,1,1,1,1,1,5,NA,1,1
"306",2,"continuous",350,350,1,1,3.16227766016838,3.16227766016838,1,1,NA,0.0031,0.048
"307",2,"continuous",350,350,1,1,3.16227766016838,3.16227766016838,1,2,NA,0.1657,0.5519
"308",2,"continuous",350,350,1,1,3.16227766016838,3.16227766016838,1,3,NA,0.8666,0.986
"309",2,"continuous",350,350,1,1,3.16227766016838,3.16227766016838,1,4,NA,0.999,1
"310",2,"continuous",350,350,1,1,3.16227766016838,3.16227766016838,1,5,NA,1,1
"311",2,"continuous",350,350,1,1,10,10,1,1,NA,0.0031,0.048
"312",2,"continuous",350,350,1,1,10,10,1,2,NA,0.0088,0.1043
"313",2,"continuous",350,350,1,1,10,10,1,3,NA,0.0431,0.26
"314",2,"continuous",350,350,1,1,10,10,1,4,NA,0.1421,0.5092
"315",2,"continuous",350,350,1,1,10,10,1,5,NA,0.342,0.7476
