"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEMcutoff","pvalcutoff"
"222",2,"binary",450,150,0.1,0.1,NA,NA,0.1,0.2,NA,0.2012,0.1857,0.8,0.05
"223",2,"binary",450,150,0.1,0.1,NA,NA,0.1,0.3,NA,0.5059,0.4843,0.8,0.05
"224",2,"binary",450,150,0.1,0.1,NA,NA,0.1,0.4,NA,0.8045,0.7877,0.8,0.05
"225",2,"binary",450,150,0.1,0.1,NA,NA,0.1,0.5,NA,0.9541,0.9483,0.8,0.05
"226",2,"binary",525,175,0.1,0.1,NA,NA,0.1,0.1,NA,0.0596,0.0576,0.8,0.05
"227",2,"binary",525,175,0.1,0.1,NA,NA,0.1,0.2,NA,0.2066,0.2022,0.8,0.05
"228",2,"binary",525,175,0.1,0.1,NA,NA,0.1,0.3,NA,0.5569,0.5486,0.8,0.05
"229",2,"binary",525,175,0.1,0.1,NA,NA,0.1,0.4,NA,0.8451,0.8409,0.8,0.05
"230",2,"binary",525,175,0.1,0.1,NA,NA,0.1,0.5,NA,0.972,0.9708,0.8,0.05
"231",2,"binary",540,60,0.1,0.1,NA,NA,0.1,0.1,NA,0.0795,0.0704,0.8,0.05
"232",2,"binary",540,60,0.1,0.1,NA,NA,0.1,0.2,NA,0.1452,0.133,0.8,0.05
"233",2,"binary",540,60,0.1,0.1,NA,NA,0.1,0.3,NA,0.3179,0.2983,0.8,0.05
"234",2,"binary",540,60,0.1,0.1,NA,NA,0.1,0.4,NA,0.553,0.529,0.8,0.05
"235",2,"binary",540,60,0.1,0.1,NA,NA,0.1,0.5,NA,0.7708,0.7512,0.8,0.05
"236",2,"binary",600,200,0.1,0.1,NA,NA,0.1,0.1,NA,0.05,0.053,0.8,0.05
"237",2,"binary",600,200,0.1,0.1,NA,NA,0.1,0.2,NA,0.2197,0.2245,0.8,0.05
"238",2,"binary",600,200,0.1,0.1,NA,NA,0.1,0.3,NA,0.6043,0.6107,0.8,0.05
"239",2,"binary",600,200,0.1,0.1,NA,NA,0.1,0.4,NA,0.8849,0.8887,0.8,0.05
"240",2,"binary",600,200,0.1,0.1,NA,NA,0.1,0.5,NA,0.9844,0.9847,0.8,0.05
"241",2,"binary",630,70,0.1,0.1,NA,NA,0.1,0.1,NA,0.0626,0.0603,0.8,0.05
"242",2,"binary",630,70,0.1,0.1,NA,NA,0.1,0.2,NA,0.1389,0.1354,0.8,0.05
"243",2,"binary",630,70,0.1,0.1,NA,NA,0.1,0.3,NA,0.3385,0.3326,0.8,0.05
"244",2,"binary",630,70,0.1,0.1,NA,NA,0.1,0.4,NA,0.6029,0.5974,0.8,0.05
